I0317 10:52:37.326183     893 libfabric_common.cpp:81] Found device - domain: ens42np0, provider=tcp;ofi_rxm, ep_type=3, caps=0x18000000013f06
I0317 10:52:37.326184     893 libfabric_common.cpp:81] Found device - domain: ens32np0, provider=tcp;ofi_rxm, ep_type=3, caps=0x18000000013f06
I0317 10:52:37.326185     893 libfabric_common.cpp:81] Found device - domain: ens41np0, provider=tcp;ofi_rxm, ep_type=3, caps=0x18000000013f06
I0317 10:52:37.326186     893 libfabric_common.cpp:81] Found device - domain: ens31np0, provider=tcp;ofi_rxm, ep_type=3, caps=0x18000000013f06
I0317 10:52:37.326187     893 libfabric_common.cpp:81] Found device - domain: flannel.1, provider=tcp;ofi_rxm, ep_type=3, caps=0x18000000013f06
I0317 10:52:37.326188     893 libfabric_common.cpp:81] Found device - domain: vlan1401, provider=tcp;ofi_rxm, ep_type=3, caps=0x18000000013f06
I0317 10:52:37.326189     893 libfabric_common.cpp:81] Found device - domain: ens51np0, provider=tcp;ofi_rxm, ep_type=3, caps=0x18000000013f06
I0317 10:52:37.326190     893 libfabric_common.cpp:81] Found device - domain: flannel.1, provider=tcp;ofi_rxm, ep_type=3, caps=0x18000000013f06
I0317 10:52:37.326191     893 libfabric_common.cpp:81] Found device - domain: ens51np0, provider=tcp;ofi_rxm, ep_type=3, caps=0x18000000013f06
I0317 10:52:37.326192     893 libfabric_common.cpp:81] Found device - domain: vlan1401, provider=tcp;ofi_rxm, ep_type=3, caps=0x18000000013f06
I0317 10:52:37.326193     893 libfabric_common.cpp:81] Found device - domain: cni0, provider=tcp;ofi_rxm, ep_type=3, caps=0x18000000013f06
I0317 10:52:37.326194     893 libfabric_common.cpp:81] Found device - domain: vethd20ac36d, provider=tcp;ofi_rxm, ep_type=3, caps=0x18000000013f06
I0317 10:52:37.326195     893 libfabric_common.cpp:81] Found device - domain: vethf79f544c, provider=tcp;ofi_rxm, ep_type=3, caps=0x18000000013f06
I0317 10:52:37.326196     893 libfabric_common.cpp:81] Found device - domain: veth9b2b176c, provider=tcp;ofi_rxm, ep_type=3, caps=0x18000000013f06
I0317 10:52:37.326197     893 libfabric_common.cpp:81] Found device - domain: cni0, provider=tcp;ofi_rxm, ep_type=3, caps=0x18000000013f06
I0317 10:52:37.326198     893 libfabric_common.cpp:81] Found device - domain: lo, provider=tcp;ofi_rxm, ep_type=3, caps=0x8000000013f06
I0317 10:52:37.326199     893 libfabric_common.cpp:81] Found device - domain: lo, provider=tcp;ofi_rxm, ep_type=3, caps=0x8000000013f06
I0317 10:52:37.326200     893 libfabric_common.cpp:81] Found device - domain: ens22np0, provider=tcp;ofi_rxm, ep_type=3, caps=0x18000000013f06
I0317 10:52:37.326201     893 libfabric_common.cpp:81] Found device - domain: ens12np0, provider=tcp;ofi_rxm, ep_type=3, caps=0x18000000013f06
I0317 10:52:37.326202     893 libfabric_common.cpp:81] Found device - domain: ens21np0, provider=tcp;ofi_rxm, ep_type=3, caps=0x18000000013f06
I0317 10:52:37.326203     893 libfabric_common.cpp:81] Found device - domain: ens11np0, provider=tcp;ofi_rxm, ep_type=3, caps=0x18000000013f06
I0317 10:52:37.326204     893 libfabric_common.cpp:81] Found device - domain: ens42np0, provider=tcp;ofi_rxm, ep_type=3, caps=0x18000000013f06
I0317 10:52:37.326205     893 libfabric_common.cpp:81] Found device - domain: ens32np0, provider=tcp;ofi_rxm, ep_type=3, caps=0x18000000013f06
I0317 10:52:37.326207     893 libfabric_common.cpp:81] Found device - domain: ens41np0, provider=tcp;ofi_rxm, ep_type=3, caps=0x18000000013f06
I0317 10:52:37.326209     893 libfabric_common.cpp:81] Found device - domain: ens31np0, provider=tcp;ofi_rxm, ep_type=3, caps=0x18000000013f06
I0317 10:52:37.326210     893 libfabric_common.cpp:81] Found device - domain: ens22np0, provider=tcp;ofi_rxm, ep_type=3, caps=0x18000000013f06
I0317 10:52:37.326211     893 libfabric_common.cpp:81] Found device - domain: ens12np0, provider=tcp;ofi_rxm, ep_type=3, caps=0x18000000013f06
I0317 10:52:37.326212     893 libfabric_common.cpp:81] Found device - domain: ens21np0, provider=tcp;ofi_rxm, ep_type=3, caps=0x18000000013f06
I0317 10:52:37.326213     893 libfabric_common.cpp:81] Found device - domain: ens11np0, provider=tcp;ofi_rxm, ep_type=3, caps=0x18000000013f06
I0317 10:52:37.326214     893 libfabric_common.cpp:81] Found device - domain: ens42np0, provider=tcp;ofi_rxm, ep_type=3, caps=0x18000000013f06
I0317 10:52:37.326215     893 libfabric_common.cpp:81] Found device - domain: ens32np0, provider=tcp;ofi_rxm, ep_type=3, caps=0x18000000013f06
I0317 10:52:37.326216     893 libfabric_common.cpp:81] Found device - domain: ens41np0, provider=tcp;ofi_rxm, ep_type=3, caps=0x18000000013f06
I0317 10:52:37.326217     893 libfabric_common.cpp:81] Found device - domain: ens31np0, provider=tcp;ofi_rxm, ep_type=3, caps=0x18000000013f06
I0317 10:52:37.326218     893 libfabric_common.cpp:81] Found device - domain: flannel.1, provider=tcp;ofi_rxm, ep_type=3, caps=0x18000000013f06
I0317 10:52:37.326219     893 libfabric_common.cpp:81] Found device - domain: vlan1401, provider=tcp;ofi_rxm, ep_type=3, caps=0x18000000013f06
I0317 10:52:37.326220     893 libfabric_common.cpp:81] Found device - domain: ens51np0, provider=tcp;ofi_rxm, ep_type=3, caps=0x18000000013f06
I0317 10:52:37.326221     893 libfabric_common.cpp:81] Found device - domain: flannel.1, provider=tcp;ofi_rxm, ep_type=3, caps=0x18000000013f06
I0317 10:52:37.326222     893 libfabric_common.cpp:81] Found device - domain: ens51np0, provider=tcp;ofi_rxm, ep_type=3, caps=0x18000000013f06
I0317 10:52:37.326223     893 libfabric_common.cpp:81] Found device - domain: vlan1401, provider=tcp;ofi_rxm, ep_type=3, caps=0x18000000013f06
I0317 10:52:37.326224     893 libfabric_common.cpp:81] Found device - domain: cni0, provider=tcp;ofi_rxm, ep_type=3, caps=0x18000000013f06
I0317 10:52:37.326225     893 libfabric_common.cpp:81] Found device - domain: vethd20ac36d, provider=tcp;ofi_rxm, ep_type=3, caps=0x18000000013f06
I0317 10:52:37.326234     893 libfabric_common.cpp:81] Found device - domain: vethf79f544c, provider=tcp;ofi_rxm, ep_type=3, caps=0x18000000013f06
I0317 10:52:37.326235     893 libfabric_common.cpp:81] Found device - domain: veth9b2b176c, provider=tcp;ofi_rxm, ep_type=3, caps=0x18000000013f06
I0317 10:52:37.326236     893 libfabric_common.cpp:81] Found device - domain: cni0, provider=tcp;ofi_rxm, ep_type=3, caps=0x18000000013f06
I0317 10:52:37.326237     893 libfabric_common.cpp:81] Found device - domain: lo, provider=tcp;ofi_rxm, ep_type=3, caps=0x8000000013f06
I0317 10:52:37.326238     893 libfabric_common.cpp:81] Found device - domain: lo, provider=tcp;ofi_rxm, ep_type=3, caps=0x8000000013f06
I0317 10:52:37.326239     893 libfabric_common.cpp:81] Found device - domain: ens22np0, provider=udp;ofi_rxd, ep_type=3, caps=0x118000000013f06
I0317 10:52:37.326240     893 libfabric_common.cpp:81] Found device - domain: ens12np0, provider=udp;ofi_rxd, ep_type=3, caps=0x118000000013f06
I0317 10:52:37.326242     893 libfabric_common.cpp:81] Found device - domain: ens21np0, provider=udp;ofi_rxd, ep_type=3, caps=0x118000000013f06
I0317 10:52:37.326243     893 libfabric_common.cpp:81] Found device - domain: ens11np0, provider=udp;ofi_rxd, ep_type=3, caps=0x118000000013f06
I0317 10:52:37.326244     893 libfabric_common.cpp:81] Found device - domain: ens42np0, provider=udp;ofi_rxd, ep_type=3, caps=0x118000000013f06
I0317 10:52:37.326245     893 libfabric_common.cpp:81] Found device - domain: ens32np0, provider=udp;ofi_rxd, ep_type=3, caps=0x118000000013f06
I0317 10:52:37.326246     893 libfabric_common.cpp:81] Found device - domain: ens41np0, provider=udp;ofi_rxd, ep_type=3, caps=0x118000000013f06
I0317 10:52:37.326247     893 libfabric_common.cpp:81] Found device - domain: ens31np0, provider=udp;ofi_rxd, ep_type=3, caps=0x118000000013f06
I0317 10:52:37.326248     893 libfabric_common.cpp:81] Found device - domain: ens22np0, provider=udp;ofi_rxd, ep_type=3, caps=0x118000000013f06
I0317 10:52:37.326249     893 libfabric_common.cpp:81] Found device - domain: ens12np0, provider=udp;ofi_rxd, ep_type=3, caps=0x118000000013f06
I0317 10:52:37.326250     893 libfabric_common.cpp:81] Found device - domain: ens21np0, provider=udp;ofi_rxd, ep_type=3, caps=0x118000000013f06
I0317 10:52:37.326251     893 libfabric_common.cpp:81] Found device - domain: ens11np0, provider=udp;ofi_rxd, ep_type=3, caps=0x118000000013f06
I0317 10:52:37.326252     893 libfabric_common.cpp:81] Found device - domain: ens42np0, provider=udp;ofi_rxd, ep_type=3, caps=0x118000000013f06
I0317 10:52:37.326253     893 libfabric_common.cpp:81] Found device - domain: ens32np0, provider=udp;ofi_rxd, ep_type=3, caps=0x118000000013f06
I0317 10:52:37.326254     893 libfabric_common.cpp:81] Found device - domain: ens41np0, provider=udp;ofi_rxd, ep_type=3, caps=0x118000000013f06
I0317 10:52:37.326255     893 libfabric_common.cpp:81] Found device - domain: ens31np0, provider=udp;ofi_rxd, ep_type=3, caps=0x118000000013f06
I0317 10:52:37.326256     893 libfabric_common.cpp:81] Found device - domain: flannel.1, provider=udp;ofi_rxd, ep_type=3, caps=0x118000000013f06
I0317 10:52:37.326257     893 libfabric_common.cpp:81] Found device - domain: vlan1401, provider=udp;ofi_rxd, ep_type=3, caps=0x118000000013f06
I0317 10:52:37.326258     893 libfabric_common.cpp:81] Found device - domain: ens51np0, provider=udp;ofi_rxd, ep_type=3, caps=0x118000000013f06
I0317 10:52:37.326259     893 libfabric_common.cpp:81] Found device - domain: flannel.1, provider=udp;ofi_rxd, ep_type=3, caps=0x118000000013f06
I0317 10:52:37.326260     893 libfabric_common.cpp:81] Found device - domain: ens51np0, provider=udp;ofi_rxd, ep_type=3, caps=0x118000000013f06
I0317 10:52:37.326261     893 libfabric_common.cpp:81] Found device - domain: vlan1401, provider=udp;ofi_rxd, ep_type=3, caps=0x118000000013f06
I0317 10:52:37.326262     893 libfabric_common.cpp:81] Found device - domain: cni0, provider=udp;ofi_rxd, ep_type=3, caps=0x118000000013f06
I0317 10:52:37.326263     893 libfabric_common.cpp:81] Found device - domain: vethd20ac36d, provider=udp;ofi_rxd, ep_type=3, caps=0x118000000013f06
