I0317 11:12:08.203039     274 libfabric_common.cpp:81] Found device - domain: ens32np0, provider=tcp;ofi_rxm, ep_type=3, caps=0x18000000013f06
I0317 11:12:08.203040     274 libfabric_common.cpp:81] Found device - domain: ens41np0, provider=tcp;ofi_rxm, ep_type=3, caps=0x18000000013f06
I0317 11:12:08.203041     274 libfabric_common.cpp:81] Found device - domain: ens31np0, provider=tcp;ofi_rxm, ep_type=3, caps=0x18000000013f06
I0317 11:12:08.203043     274 libfabric_common.cpp:81] Found device - domain: flannel.1, provider=tcp;ofi_rxm, ep_type=3, caps=0x18000000013f06
I0317 11:12:08.203044     274 libfabric_common.cpp:81] Found device - domain: vlan1401, provider=tcp;ofi_rxm, ep_type=3, caps=0x18000000013f06
I0317 11:12:08.203045     274 libfabric_common.cpp:81] Found device - domain: ens51np0, provider=tcp;ofi_rxm, ep_type=3, caps=0x18000000013f06
I0317 11:12:08.203046     274 libfabric_common.cpp:81] Found device - domain: flannel.1, provider=tcp;ofi_rxm, ep_type=3, caps=0x18000000013f06
I0317 11:12:08.203047     274 libfabric_common.cpp:81] Found device - domain: ens51np0, provider=tcp;ofi_rxm, ep_type=3, caps=0x18000000013f06
I0317 11:12:08.203048     274 libfabric_common.cpp:81] Found device - domain: vlan1401, provider=tcp;ofi_rxm, ep_type=3, caps=0x18000000013f06
I0317 11:12:08.203050     274 libfabric_common.cpp:81] Found device - domain: cni0, provider=tcp;ofi_rxm, ep_type=3, caps=0x18000000013f06
I0317 11:12:08.203051     274 libfabric_common.cpp:81] Found device - domain: vethc924435f, provider=tcp;ofi_rxm, ep_type=3, caps=0x18000000013f06
I0317 11:12:08.203052     274 libfabric_common.cpp:81] Found device - domain: vethe29b4b2e, provider=tcp;ofi_rxm, ep_type=3, caps=0x18000000013f06
I0317 11:12:08.203053     274 libfabric_common.cpp:81] Found device - domain: veth4e77d7d4, provider=tcp;ofi_rxm, ep_type=3, caps=0x18000000013f06
I0317 11:12:08.203054     274 libfabric_common.cpp:81] Found device - domain: cni0, provider=tcp;ofi_rxm, ep_type=3, caps=0x18000000013f06
I0317 11:12:08.203055     274 libfabric_common.cpp:81] Found device - domain: lo, provider=tcp;ofi_rxm, ep_type=3, caps=0x8000000013f06
I0317 11:12:08.203057     274 libfabric_common.cpp:81] Found device - domain: lo, provider=tcp;ofi_rxm, ep_type=3, caps=0x8000000013f06
I0317 11:12:08.203058     274 libfabric_common.cpp:81] Found device - domain: ens22np0, provider=tcp;ofi_rxm, ep_type=3, caps=0x18000000013f06
I0317 11:12:08.203060     274 libfabric_common.cpp:81] Found device - domain: ens12np0, provider=tcp;ofi_rxm, ep_type=3, caps=0x18000000013f06
I0317 11:12:08.203061     274 libfabric_common.cpp:81] Found device - domain: ens21np0, provider=tcp;ofi_rxm, ep_type=3, caps=0x18000000013f06
I0317 11:12:08.203062     274 libfabric_common.cpp:81] Found device - domain: ens11np0, provider=tcp;ofi_rxm, ep_type=3, caps=0x18000000013f06
I0317 11:12:08.203063     274 libfabric_common.cpp:81] Found device - domain: ens42np0, provider=tcp;ofi_rxm, ep_type=3, caps=0x18000000013f06
I0317 11:12:08.203065     274 libfabric_common.cpp:81] Found device - domain: ens32np0, provider=tcp;ofi_rxm, ep_type=3, caps=0x18000000013f06
I0317 11:12:08.203066     274 libfabric_common.cpp:81] Found device - domain: ens41np0, provider=tcp;ofi_rxm, ep_type=3, caps=0x18000000013f06
